NOM_ETABL,NbreAnnexe,Adresse,Ville,TEL_ETAB,FAX_ETAB,email,Région,Province,Commune
Assafoua,0,Boulevard Allal Al Fassi Hay Salam - Bettana,Salé,0537808434,___-__-__-__,ASSAFOUA98@HOTMAIL.COM,Rabat - Salé - Zemmour - Zaer,Salé,Bettana (AR)
Assafae,0,Boulevard Achouhada Hay Salam - Bettana,Salé,037-80-71-66,037-80-06-17,,Rabat - Salé - Zemmour - Zaer,Salé,Bettana (AR)
Al Qods,0,Km 5 Route de Meknès - Hssaine,Salé,037-83-00-83,___-__-__-__,groupescolairealqods@gmail.com,Rabat - Salé - Zemmour - Zaer,Salé,Hssaine (AR)
Arrida,0,Boulevard Al Abtal Secteur 4 Hay Baraka  N° 30 - Hssaine,Salé,037-83-25-05,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Salé,Hssaine (AR)
Complexe Mohamed Khalil,0,Boulevard Abderrahim Bouabid Cité Royal - Hssaine,Salé,037-53-17-71,037-53-17-70,,Rabat - Salé - Zemmour - Zaer,Salé,Hssaine (AR)
Al Aksa Annexe,0,Villa Zouhour Base Aerienne Km 3 - Layayda,Salé,037-87-35-16,037-80-97-03,ENNAJI.AHMED@HOTMAIL.FR,Rabat - Salé - Zemmour - Zaer,Salé,Layayda (AR)
Errachad,0, CITé BEAU SOLEIL Route de Kenitra - Layayda,Salé,037-82-24-15,037-75-43-34,errachad2000@hotmail.com,Rabat - Salé - Zemmour - Zaer,Salé,Layayda (AR)
AL MANAR I,0,N° 12 BIS AVENUE AL MASSIRA- Oued Zem,oued/zem,0523411608,___-__-__-__,rahali88@MENARA.MA,Chaouia - Ourdigha,Khouribga,Oued Zem (M)
Institution Al Khattabi Privé,0,"Rue du Four- N° 14-Bp 135, Khouribga",Khouribga,023-56-36-39,023-56-36-39,etselkhattabi@menara.ma,Chaouia - Ourdigha,Khouribga,Khouribga (M)
Etablissement Chaouki ,0,N° 1 Boulevard 16 Novembre Nahda - Khouribga,Khouribga,023-56-49-84,___-__-__-__,CHAOUKIPRIVE@HOTMAIL.FR,Chaouia - Ourdigha,Khouribga,Khouribga (M)
Institution Razi,0,N° 20 Rue Meknès - Khouribga,Khouribga,023-56-27-09,___-__-__-__,al-razi02@gmail.com,Chaouia - Ourdigha,Khouribga,Khouribga (M)
Etablissement Privé Al Azhar,0,Lotissement Yassmina 1 Rue Kaid Cherradi - Khouribga,Khouribga,023-58-00-24,023-56-29-56,"AL AZHAR_com@Hotmail,com",Chaouia - Ourdigha,Khouribga,Khouribga (M)
Ecole Fath,0,"N° 16, Hay El Massira - Errachidia",Errachidia,0535572475,___-__-__-__,ecolefathpv@gmail.com,Meknès - Tafilalet,Errachidia,Errachidia (M)
Ecole El Farabi,0,hay chouhada  derriere le lycee technique  errachidia,Errachidia,055-57-25-50,___-__-__-__,malami06@menara.ma,Meknès - Tafilalet,Errachidia,Errachidia (M)
Irfane,0,"N° 7, Rue Abass Mahmoud El Aqad - Nador",Nador,036-60-32-62,___-__-__-__,irfan_nador@hotmail.com,l'Oriental,Nador,Nador (M)
Afaq,,Municipalité de Bni Ansar,Bni Ansar -,036-34-91-47,___-__-__-__,,l'Oriental,Nador,Bni Ansar (M)
ar rissala,0,Rue El Khartoum N° 28 Hay El Kindy - Nador,Nador,036-60-08-46,036-60-08-47,arrissala1@gmail.com,l'Oriental,Nador,Nador (M)
El Khozama,0,Boulevard Sidi Mohamed Laarassi - Nador,Nador,036-33-74-02,___-__-__-__,,l'Oriental,Nador,Nador (M)
IQRAE EXEMPLAIRE,0,IALLATEN  NADOR,Nador,036-35-32-72,___-__-__-__,institut@iqrae-online.com,l'Oriental,Nador,Nador (M)
el yamama zerkae,0,Rue ennassim,al aruit,036-36-36-19,036-36-19-20,,l'Oriental,Nador,Al Aaroui (M)
Ibn El Khatib,,B.P. : 235 Commune Midar Centre,MIDAR,036-36-41-55,___-__-__-__,,l'Oriental,Driouch,Midar (M)
abou el ouafa,0,Douar Bouyzerzane - Commune Bni Bouifrour,BNI BOUIFROUR,036-33-75-19,036337519,,l'Oriental,Nador,Bni Bouifrour
ECOLE EZZAITOUNE AL OUM POUR L enseignement privé,0,Lot Tassaltante Avenue Golf Royal 6-7-8-9,Marrakech ,024402247,024403602,,Marrakech - Tensift - Al Haouz,Marrakech,Sidi Youssef Ben Ali (AR)
El Omnia,,Lotissement Tassaltante Avenue El Golf N° 2-3,Marrakech - S.Y. Ben Ali,044409612,,,Marrakech - Tensift - Al Haouz,Marrakech,Sidi Youssef Ben Ali (AR)
El Azhar,0,Jnane 2 Sidi Youssef Ben Ali N° 77 ,Marrakech - S.Y. Ben Ali,024408522,024408522,,Marrakech - Tensift - Al Haouz,Marrakech,Sidi Youssef Ben Ali (AR)
SINDIBAD,0,51 Cité Tilal,ESSAOUIRA,024-78-31-17,___-__-__-__,a.zomoroda@hotmail.com,Marrakech - Tensift - Al Haouz,Essaouira,Essabouira (M)
Andalib,0,"N° 78, Rue Bouchaib Doukali- Essaouira",Essaouira,044-78-41-32,___-__-__-__,,Marrakech - Tensift - Al Haouz,Essaouira,Essabouira (M)
 Annahda,,"N° 39, Rue Foughal, Hay Laaymoune - Berkane",Berkane,056-61-29-31,___-__-__-__,,l'Oriental,Berkane,Berkane (M)
 Ryad ,0,"Lotissement Laaymoune ""Karrakchou"" - Berkane",Berkane,0536616120,___-__-__-__,,l'Oriental,Berkane,Berkane (M)
 Al Fath ,,"N° 82, Rue Cherrâa - Berkane",Berkane,056-61-29-25,___-__-__-__,,l'Oriental,Berkane,Berkane (M)
"Fondation Education Culture, groupe banque populaire",0,Dcheira B.P. : 70230 - Dcheira El Jihadia,Inezgane Ait Melloul,028-83-68-44,___-__-__-__,fbp_usagadir@yahoo.fr,Sous - Massa - Draa,Inzegane Ait Melloul,Dcheira El Jihadia (M)
Lycée Al Mokhtar Soussi,0,Avenue des FAR - Inezgane,Inezgane Ait Melloul,028-27-01-16,028-27-18-16,said-ntic@hotmail.com,Sous - Massa - Draa,Inzegane Ait Melloul,Dcheira El Jihadia (M)
Etablissement Omar El Farouk,0,"N° 8, Place Assais - Inezgane ",Inezgane Ait Melloul,048-33-04-75,028-33-48-81,directionfarouk@hotmail.com,Sous - Massa - Draa,Inzegane Ait Melloul,Inezgane (M)
Etablissement Jassani,0,"N° 6, Rue Ait Atta, Hay Hassani - Inezgane",Inezgane Ait Melloul,028-33-52-60,028-33-31-33,GSJASSANIP@MENARA.MA,Sous - Massa - Draa,Inzegane Ait Melloul,Inezgane (M)
Attabari,,"N° 8, Rue n°1 bd mohamed v - Guercif",Guercif - Taza,035-67-57-70,___-__-__-__,,Taza  - Al Hoceima - Taounate,Guercif,Guercif (M)
Ibn Baja,,Boulevard Fès -  Tahla,Tahla - Taza,035-67-89-49,___-__-__-__,,Taza  - Al Hoceima - Taounate,Taza,Tahla (M)
Ibnou El Khatib,,"N° 11, Rue Algeie - Taja El Jadida",Taza,035-67-26-31,___-__-__-__,,Taza  - Al Hoceima - Taounate,Taza,Taza (M)
El Falah,,"Boulevard Prince Heritier, Av. Tizi Ouisli - Taza El Jadida",Taza,035-28-30-12,___-__-__-__,,Taza  - Al Hoceima - Taounate,Taza,Taza (M)
Essaada,,"2 Avenue Moulay Idriss, Boulevard Mohamed V - Taza El Jadida",Taza,035-28-38-81,035-28-22-28,,Taza  - Al Hoceima - Taounate,Taza,Taza (M)
Al Amir Essaghir,,Boulevard Ziri Bnou Atya N° 35 - Taza El Jadida,Taza,055-28-40-74,___-__-__-__,youngprince@menera.ma,Taza  - Al Hoceima - Taounate,Taza,Taza (M)
El Hanae,,"Villa Belayachi, Boulevard OUKBA BNOU NAFIE TAZA",Taza,035-67-03-08,___-__-__-__,,Taza  - Al Hoceima - Taounate,Taza,Taza (M)
El Ouafae,,"N° 45, Avenue El Qods - Taza El Jadida",Taza,055-67-21-54,___-__-__-__,,Taza  - Al Hoceima - Taounate,Taza,Taza (M)
Atlas,,"N° 50, Rue Settat - Kenifra",Khenifra,022-01-15-10,___-__-__-__,,Meknès - Tafilalet,Khenifra,Khenifra (M)
Zayane,,"N° 2, Avenue Mohamed V - Khenifra",Khenifra,055-58-65-12,___-__-__-__,,Meknès - Tafilalet,Khenifra,Khenifra (M)
Al Baraim,,"N° 75, Rue 1, Cité Al Amal - Khenifra",Khenifra,072349809,___-__-__-__,,Meknès - Tafilalet,Khenifra,Khenifra (M)
ZAHRAT ALMADAINE,,"N° 14, Avenue Moulay Rachid - M'Rirt",Kenifra,055-39-00-69,___-__-__-__,,Meknès - Tafilalet,Khenifra,M'Rirt (M)
Ecole Alam El Maarifa Privée,0,"N° 66, Bd. Khalifa Ben Smail, Hay Moulay Rachid ",Casablanca,022-70-51-61,___-__-__-__,ECOLE ALAMALMAARIFA@MENARA.MA,Grand Casablanca,Moulay R'chid_Sidi Otmane,Moulay Rachid (AR)
Groupe scolaire la RESSOURCE,0,"N° 380, Avenue Khalifa Ben Smail - Hay Moulay Rachid",Casablanca,022-70-08-84,022-71-37-02,almawrid@menara.ma,Grand Casablanca,Moulay R'chid_Sidi Otmane,Moulay Rachid (AR)
Groupe Scolaire Al Boustane,0,HAY FALAH BD IDRISS AHARTY N° 9,Casablanca,022-72-66-81,,alboustane@hotmail.com,Grand Casablanca,Moulay R'chid_Sidi Otmane,Moulay Rachid (AR)
Ennassiria Privée,0,"N° 16, Avenue Forces Auxiliaires Hay Moulay Rachid I",Casablanca,022-71-94-69,___-__-__-__,,Grand Casablanca,Moulay R'chid_Sidi Otmane,Moulay Rachid (AR)
Groupe Scolaire La Cascade Privé,0,"Hay Errahma, Rue 10, N° 36/34 - Moulay Rachid",Casablanca,022-71-80-10,___-__-__-__,LACASCADE1@HOTMAIL.FR,Grand Casablanca,Moulay R'chid_Sidi Otmane,Moulay Rachid (AR)
Ecole El Amine Privée,,"Hay Errahma, Rue 1 - Moulay Rachid",Casablanca,022-70-01-43,___-__-__-__,,Grand Casablanca,Moulay R'chid_Sidi Otmane,Moulay Rachid (AR)
Annexe Ecole El Amine,,"Hay Errahma, Rue 12, N° 12 - Moulay Rachid",Casablanca,022-71-99-31,___-__-__-__,,Grand Casablanca,Moulay R'chid_Sidi Otmane,Moulay Rachid (AR)
Badreddine Privé,0,"Hay Raja1, Rue 9, N° 101 - Bournazil",Casablanca,022-70-53-71,022-70-53-71,badreddinep@gmail.com,Grand Casablanca,Moulay R'chid_Sidi Otmane,Moulay Rachid (AR)
Institut El Majd Privé,0,"Hay Sadri, Groupe II Rue 5 -  Moulay Rachid",Casablanca,022-70-32-61,022-71-88-98,,Grand Casablanca,Moulay R'chid_Sidi Otmane,Moulay Rachid (AR)
El Hilal Privée,0,"HAy Mabrouka, Boulevard Ennil, Rue 8 N° 10 - Sidi Othmane",Casablanca,022-38-72-70,___-__-__-__,ecoleelhilalprive@yahoo.fr,Grand Casablanca,Moulay R'chid_Sidi Otmane,Sidi Othmane (AR)
Al Irfane,0,Lotissement Al Houbousse N° 2 Route El Wahda - Taounate,Taounate,077-36-38-14,___-__-__-__,alirfane_50@hotmail.fr,Taza  - Al Hoceima - Taounate,Taounate,Taounate (M)
Imam El Ghazali Privé,0,Hay El Youssoufia - Tiznit,Tiznit,028-86-30-70,028-86-21-70,,Sous - Massa - Draa,Tiznit,Tiznit (M)
Al Amal Taroudant,,"N° 93, Boulevad Bir Anzarane - Taroudant",Taroudant,048-85-29-46,___-__-__-__,,Sous - Massa - Draa,Taroudant,Taroudant (M)
Al Amal Ouled Teima,0,"N° 6, Rue Al Khawarizmi - Ouled Teima",Ouled Tiema,0528526040,___-__-__-__,Etablissement.Alamal44@gmail.com,Sous - Massa - Draa,Taroudant,Ouled Teima (M)
Tarik,1,Boulevard El Mokhtar Soussi - Taroudant,Taroudant,048-85-47-52,___-__-__-__,,Sous - Massa - Draa,Taroudant,Taroudant (M)
Iqraa,0,jnane khay bab zergane,Taroudant,028854004,028854004,www.iqrae2008@hotmail.fr,Sous - Massa - Draa,Taroudant,Taroudant (M)
Al Firdaous,0,"N° 1, Rue Ahmed Boubya Hay Essalam ",Khemisset,037-55-55-96,___-__-__-__,insfirdaous@menara.ma,Rabat - Salé - Zemmour - Zaer,Khemisset,Khemisset (M)
Manarat Al Firdaous,0,Rue Cadi Ayad,Khemisset,037-55-85-00,037-55-07-07,MANARAT_FIRDAOUS@HOTMAIL.COM,Rabat - Salé - Zemmour - Zaer,Khemisset,Khemisset (M)
FADAE ATTOFOULA,0,28 lot ennasr sidi allal bahraoui,sidi allal bahraoui,0537520644,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Khemisset,Aît ali oulahcen
CHOUALAT TAHA,0,Boulevard Abdellah Chefchaouni Hay Essalam,Khemisset,037-55-27-59,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Khemisset,Khemisset (M)
Ennajah Gad,0,"N° 48, Rue El Hilali Laarbi",Khemisset,0533273641,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Khemisset,Khemisset (M)
Al Wahda,0,"N° 117, Boulevard Mohamed V - Commune Khemisset",Khemisset,0537554764,0537552389,,Rabat - Salé - Zemmour - Zaer,Khemisset,Khemisset (M)
ETABLISSEMENT FUTURE GENERATION,0,"Villa N° 189/190, Hay Al Andalous -  Commune Tiflet",Tiflet,0533447551,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Khemisset,Tiflet (M)
Zemmour,0,Quartier Administratif - Commune Tiflet,Tiflet,0537512346,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Khemisset,Tiflet (M)
Lycée El Irfane,,Hay Salam N° 36 - Commune Ksar El Kebir,Ksar El Kebir,039-90-47-59,___-__-__-__,,Tanger - Tetouan,Larache,Ksar El Kebir (M)
Ecole Al Wahda,,"N° 19, Khalid Ibn Oualid - Commune Larache",Larache,039-91-33-69,___-__-__-__,,Tanger - Tetouan,Larache,Larache (M)
Ecole Ibn Batouta,0,"N° 36, Khalid Ibn Oualid - Commune Larache",Larache,039-91-46-71,,,Tanger - Tetouan,Larache,Larache (M)
Lycée Mouatamid  Ibn abbad ,0,Avenue ABDERRAHMAN GHAFIKI N °22- Commune Larache,Larache,039-50-04-57,___-__-__-__,,Tanger - Tetouan,Larache,Larache (M)
Ecole Erifaie 1,0,Fatima El Andaloussia N° 20 - Commune Ksar El Kebir,Ksar El Kebir,039-91-87-09,___-__-__-__,,Tanger - Tetouan,Larache,Ksar El Kebir (M)
Lycée Erifaie 2,,Avenue El Mrina N° 98 - Commune Ksar El Kebir,Ksar El Kebir,039-90-30-83,___-__-__-__,,Tanger - Tetouan,Larache,Ksar El Kebir (M)
EL FATH,0,"N° 12, Derb Belghazi - Commune Maknassat Azzaytoun",MEKNES,0535551681,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Al Mansour,0,"N° 13, Rue Amboise Touraine - Commune Maknassat Azzaytoun",meknes,0535537055,,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Al Andalib 1,0,"N° 1, Villa Mabrouka Av. Abdelkrim Khattabi - Sbata",Meknès,0534952068,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Al Amine Daoudi,0,"N° 30, Derb Belhafiane - Commune Maknassat Azzaytoun",MEKNES,035-55-21-03,___-__-__-__,INST.ALAMINE.DAOUDI@MENARA.MA,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Les Rossignols,0,"Lotissement Al Mansour II, Route d Agourai - C. Al Ismailia",Meknès,0661354543,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Salma,,"N° 11, Lotissement My Messaoud Sidi Said - MEKNES",MEKNES,055-53-02-86,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Rachad,,"N° 2, Derb Slaoui Ancienne Medina - MEKNES",MEKNES,055-53-08-79,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Alaymoun,,"N° 515, Secteur Al Mansour - Commune Al Ismailia",Meknès,___-__-__-__,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Annajm Saghir,0,"N° 48, Rue Salaheddine Al Ayoubi Riad -meknes",Meknès,0661757724,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Al Amane,,Rue 41; N° 480 3eme Tranche Hay Lamane -,Meknes,055-55-25-66,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Naim,,"N° 9, Rue Hassan Al Ansari Riad -MEKNES",MEKNES,055-45-27-93,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Al Hadaf,,"N° 25, Rue Abdelaziz 1er Touargas - C. Al Ismailia",Meknès,055-53-66-28,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Asmaa,0,"Derb Baggar, Touargas - Commune Maknassat Azzaytoun",Meknès,055-53-66-23,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Al Afak,,"N° 80, Lotissement Toulal - Commune Toulal",MEKNES,055-53-50-18,___-__-__-__,,Meknès - Tafilalet,Meknes,Toulal (M)
Achbal Al Fath 2,0,Boulevard Moulay Abdellah N° 274 - Commune Harhoura,Temara,037-61-66-46,___-__-__-__,achbal2011@hotmail.fr,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Harhoura (M)
Al Kawtar,0,N°16- 17 Lotiisement Dakhla - Commune Skhirate,Skhirate,037-74-22-05,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Skhirate (M)
Oued Eddahab,0,Hay Oued Eddahab,Temara,0537610595,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Temara (M)
Al Irfane,0,Hay Nahda N° 44 - Commune Temara,Temara,037-60-74-84,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Temara (M)
Al Iman,0,7-Lotissement Benssouda -Hay Al Wifak Commune Temara,Temara,037-74-00-25,___-__-__-__,ecole_alimane@hotmail-com,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Temara (M)
Moulay Driss,,Lotissement Alaoui - Commune Temara,Temara,037-74-18-40,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Temara (M)
ANNAJAH,0,Hay Massira 1 N° 336 - Commune Temara ,Temara,0537602914,___-__-__-__,Annajah9@Gmail.com,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Temara (M)
Al Moustakbal,0,Hay Al Firdouss N° 16 - Commune Temara,Temara,037-60-24-65,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Temara (M)
Al Azhar 1,,"Cité Al Andalouss Rue 4, N° 92 - Commune Temara",Temara,037-64-15-91,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Temara (M)
Al Azhar 2,,Hay Massira 1 - Commune Temara,Temara,037-60-06-71,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Temara (M)
Al Qods,0,"N° 24, Massira 2Hay Magreb Arabi - Commune Temara",Temara,037-60-21-53,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Temara (M)
Maria,,"Hay Al Andalouss, Rue N° 1 - Commune Temara",Temara,037-64-27-06,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Temara (M)
Mohammed Ben Abdellah,,"Boulevard Le Caire, Masrour 1 - Commune Temara",Temara,037-74-08-21,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Temara (M)
Abi Bakr Essedik,1,"Hay 9 Juillet, Route Sidi Yahya Zaer - Commune Temara",Temara,037-64-19-76,037-61-26-68,instabibakr2008@hotmail.coM,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Temara (M)
GROUPE SCOLAIRE Achbal Al Fath  TEMARA,0,"N° 4 et 5, Hay Al Fath, Rue Damas - Commune Temara",Temara,037-64-26-85,037-64-26-85,achbalalfath@hotmail.fr,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Temara (M)
Ecole Al Badia Privée,1,"197 Quartier Edakhla, Rue des orangers,",Khouribga,0523496428,___-__-__-__,ecolealbadia@yahoo.fr,Chaouia - Ourdigha,Khouribga,Khouribga (M)
Institut Khawarizmi Pour l'Education et l'Enseig.,,"Angle Rue Tadla, Rue Moulay Abdellah - Commune Khouribga",Khouribga,023-49-44-50,___-__-__-__,,Chaouia - Ourdigha,Khouribga,Khouribga (M)
Institut Omar Khayam Privé,,"Hay Ryad, Avenue Mu Idriss 1er - Commune Khouribga",Khouribga,023-49-23-53,___-__-__-__,,Chaouia - Ourdigha,Khouribga,Khouribga (M)
Etablissement Ibn Sina Privé,0,route el khatouate BP 738 Ezellaqua khouribga ُ- Commune Khouribga,Khouribga,0523564535,0523580977,institutibnsinaprive@yahoo.fr,Chaouia - Ourdigha,Khouribga,Khouribga (M)
Ecole Al Manbat Privée ,0,"Hay Massira, Villa 1 - Commune Khouribga",Khouribga,023-49-94-32,___-__-__-__,,Chaouia - Ourdigha,Khouribga,Khouribga (M)
Institut de Promotion Socio-Educative,0,Boulevard Mohamed V -  Khouribga,Khouribga,023-49-29-31,023-49-29-31,AFAF.nor @hotmail.fr,Chaouia - Ourdigha,Khouribga,Khouribga (M)
Espace Enfants,0,"N° 2, Rue Elyamama qu elmajed- Commune Asfi Biyada",Safi,0524668013,0524666548,,Doukala - Abda,Safi,Asfi (M)
Espace Ennajah,0,Sidi Abdelkarim 1 - Commune Asfi Biyada,Safi,044-66-90-33,___-__-__-__,,Doukala - Abda,Safi,Asfi (M)
Ali Squalli,0, Rue Belle vue  - Commune Asfi Biyada,Safi,0666411450,0524621647,danaya@hotmail.fr,Doukala - Abda,Safi,Asfi (M)
ATTANCHIA,0,"N° 18, Rue 38, Quartier Anas - Commune Asfi Boudheb",Safi,0524611614,0524611614,ecol.attanchia@menara.ma,Doukala - Abda,Safi,Asfi (M)
groupe scolaire la sagesse,0,"N° 3, Avenue Moulay Ismail V.N. - Commune Asfi Boudheb",Safi,0524611546,___-__-__-__,groupescol.lasagesse@gmail.com,Doukala - Abda,Safi,Asfi (M)
Lycée Baghdad,0,N° 31Rue Ibn Batouta V.N. - Commune Asfi Boudheb,Safi,0524627476,___-__-__-__,,Doukala - Abda,Safi,Asfi (M)
Lycée El Manfalouti,0,"N° 8, Rue La Liberté V.N. - Asfi Boudheb",Safi,0524623132,___-__-__-__,,Doukala - Abda,Safi,Asfi (M)
Enahda,0,"N° 37, Avenue Medyouna Jnane Illan- Asfi Boudheb",Safi,024-46-25-24,___-__-__-__,,Doukala - Abda,Safi,Asfi (M)
Sannaa,0,"N° 185, Bled El Jad Azib Dari",Safi,044-62-77-08,024624919,,Doukala - Abda,Safi,Asfi (M)
Echaimâa,0,Route Sidi Aissa Ville Nouvelle,Safi,044-61-07-02,___-__-__-__,,Doukala - Abda,Safi,Asfi (M)
Annexe Sanâa,0,"N° 182, Bled El Jad Azib Edari",Safi,024-62-49-19,024624919,,Doukala - Abda,Safi,Asfi (M)
Rihab,2,"N° 22, tankar2, Rue 5 Nouvelle Ville",Safi,024611976,___-__-__-__,nis779@hotmail.com,Doukala - Abda,Safi,Asfi (M)
groupe scolaire el azhari le champion,0,"N° 15, Avenue Allal illan",Safi,024-62-22-64,024-61-10-83,ges@menara.ma,Doukala - Abda,Safi,Asfi (M)
Plateau Bensouda,0,"N° 21, Rue Ibn Zahr Ville Nouvelle",Safi,0524623561,0524611931,ecole_plateau@yahoo.fr,Doukala - Abda,Safi,Asfi (M)
Plateau Annexe,0,10 rue la liberte ville nouvelle,Safi,0524622525,0524611931,ecole_plateau@yahoo.fr,Doukala - Abda,Safi,Asfi (M)
INSTITUTION MAROCAINE SCIENTIFIQUE,0,Youssoufia Centre,youssoufia,024-64-91-18,024-64-71-48,,Doukala - Abda,Youssoufia,Youssoufia (M)
Institut de Promotion Socio - educative,0,rue de la pepiniere hay mohammadi youssoufia,youssoufia,0524649179,0524649179,,Doukala - Abda,Youssoufia,Youssoufia (M)
ALHOUDA,0,HAY ELHASSANI,Dakhla,,___-__-__-__,,Oued Ed - dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
Lycée Ibn Batouta,,Passage Maarakat Zelaka - Tetouan,Tetouan,039-96-22-41,___-__-__-__,,Tanger - Tetouan,Tetouan,Tetouan (M)
Lyceé Mazine,,Avenue Yacoub Al Mansour 2° étage - Tetouan,Tetouan,039-70-43-07,___-__-__-__,,Tanger - Tetouan,Tetouan,Tetouan (M)
Lycée Al Mansour Dahbi,,"N° 91, Avnue Hassan II - Tetouan",Tetouan,039-96-33-38,___-__-__-__,,Tanger - Tetouan,Tetouan,Tetouan (M)
Abdoullah Bnou  Omar,0,"Avenue Mauritania, N° 25 - Tetouan",Tetouan,039-96-65-96,___-__-__-__,ecolebnouomar@hotmail.fr,Tanger - Tetouan,Tetouan,Tetouan (M)
Riad Al AndalouS,0,Avenue Abou Bakr Seddik - JBEL DERSA Tetouan ,Tetouan,0539711542,0539711542,ligueandalous@yah00.com,Tanger - Tetouan,Tetouan,Tetouan (M)
Al Houda,0,"Avenue Hassan II, N° 11 - Tetouan Al Azhar",Tetouan,0539965500,___-__-__-__,alHOUda.ed.ens@hotmail.fr,Tanger - Tetouan,Tetouan,Tetouan (M)
Al Oumouma,0,"Avenue Khalid Ibn Al Oualid, N° 10- Tetouan",Tetouan,0534041742,___-__-__-__,null@null.com,Tanger - Tetouan,Tetouan,Tetouan (M)
Al Oumouma - Annexe,0,Avenue Khalid Ibn Al OUalid N°67- Tetouan,Tetouan,0534041742,___-__-__-__,null@null.com,Tanger - Tetouan,Tetouan,Tetouan (M)
AS-Sanabil,0,Hay Matar B.P. : 272 - Tetouan,Tetouan,0539973456,___-__-__-__,,Tanger - Tetouan,Tetouan,Tetouan (M)
Institut Daoud,0,M Hanech II - Tetouan,Tetouan,0539973697,___-__-__-__,,Tanger - Tetouan,Tetouan,Tetouan (M)
Al Mahad Al Hor,,"Talâa Sidi Ali Baraka, N° 42 - Tetouan",Tetouan,039-96-23-15,___-__-__-__,,Tanger - Tetouan,Tetouan,Tetouan (M)
mENHAJ ALOUIAM,0,"Hay Boussafou, Al Matar - Tetouan",Tetouan,0539995182,___-__-__-__,menhaj-alouiam@hotmail.fr,Tanger - Tetouan,Tetouan,Tetouan (M)
Abdeslam R`zini,0,rue belarbi al alaoui Boujarah el oulia - Tetouan,Tetouan,0539970519,___-__-__-__,,Tanger - Tetouan,Tetouan,Tetouan (M)
Al Fadila,0,Avenue Mechouar Said - Tetouan,Tetouan,0539963498,___-__-__-__,,Tanger - Tetouan,Tetouan,Tetouan (M)
oma Al Kora,0,Avenue mhand ouryarli - Tetouan Sidi Al Mandri,Tetouan,0539974922,___-__-__-__,omalkora@menara.ma,Tanger - Tetouan,Tetouan,Tetouan (M)
El Manara I,0,"Rue Damas, N° 67  Touabel Soufla - Tetouan",Tetouan,039-99-24-92,___-__-__-__,,Tanger - Tetouan,Tetouan,Tetouan (M)
El Manara II,0,Lotissement Aviation - Tetouan,Tetouan,0539971131,0539971131,ecole.manara2@gmail.com,Tanger - Tetouan,Tetouan,Tetouan (M)
Al Amira Lala Aicha,,"Hay Jenoui, N° 6 - Tetouan",Tetouan,039-97-25-52,___-__-__-__,,Tanger - Tetouan,Tetouan,Tetouan (M)
Al Manbâa,0,"Avenue Saida, Touabel Soufla - Tetouan",Tetouan,0539972553,039970843,elmanbaa2_coll@yahoo.fr,Tanger - Tetouan,Tetouan,Tetouan (M)
Mohamed V,1,Avenue Al Ouazir Mohamed SEFFAR n2 - Tetouan,Tetouan,0539993221,___-__-__-__,MOHAMEDELKHAMIS@HOTMAil.FR,Tanger - Tetouan,Tetouan,Tetouan (M)
